id,Артикул,Имя,Краткое описание,Описание,Базовая цена,Категории,Изображения
40,"HE400WG 3787729, 3785076, 3786237, 13809700027 - HOLSET 3787729",Турбокомпрессор КАМАЗ Евро-1 S2B317810 левый/S2B317809 правый  S2B/7624TAE/1.0D9,Артикул: 13809700027Доп. артикул 1: Schwitzer-13809700027Доп. артикул 2: 3785076Размеры (Д х Ш х В): 0.32 x 0.28 x 0.23 мВес: 9.54 кг,"Турбокомпрессор КАМАЗ Евро-1 S2B317810 левый /правыйS2B/7624TAE/1.0D9Артикул: S2B 317810 Дополнительный артикул: S2BЕ1/7624ТАЕ/1,0 D9, 317810 Альтернативные описания: Турбокомпрессор КАМАЗ двигатели 740.11, 13, 14 ЕВРО-0,1 левый (аналог ТКР7С-9,К-27-115,S2B/1.0) № S2B317810 Турбина Schwitzer 317810л. S2B/7624TAE/1,0 D9 на КАМАЗ (ЕВРО-1).Аналог - РФК27 ТИ (2075553001), РФ ТКР 7 С9 на двигатели Камаз 740.11-240, 740.13-260, 740.14.Применяемость: КАМАЗ Евро-1 Применяется для двигателя и системы питания двигателя в моделях КАМАЗШирина, м - 0.22 Высота, м - 0.25 Длина, м - 0.22 Вес, кг - 10.0",12800,1,https://deshevle-tut.ru/wp-content/uploads/2019/08/Turbokompressor-schwitzen.jpg
41,7403-1118010,Турбокомпрессор КамАЗ ТКР 7Н1,Артикул: 7403-1118010Размеры (Д х Ш х В): 0.264 x 0.214 x 0.232 мВес: 7.4 кг,"Турбокомпрессор КамАЗ ТКР7Н-1Артикул: 7403-1118010&nbsp;Турбокомпрессор 7403 1118010 используется для для повышения мощности двигателя внутреннего сгорания. Он повышает давление во впускном тракте двигателя. Он является главным компонентом системы агрегатного наддува двигателей внутреннего сгорания.Применяется в системе питания двигателя автомобиля.Турбокомпрессор КАМАЗ ТКР7Н-1К применяется для автомобилей: 	КамАЗ-4326 	КамАЗ-5315 	КамАЗ 7403.10-260 (Евро 0) 	КамАЗ-43114 	КамАЗ-43118 	КамАЗ-4326 (каталог 2003г) 	Алтайдизель Д-442И7403 1118010 турбокомпрессор характеристики: 	Ширина,м - 0.19 	Высота,м - 0.21 	Длина,м - 0.22 	Вес,кг - 8.3",9300,1,https://deshevle-tut.ru/wp-content/uploads/2019/08/IMG_0786-22-01-21-12-47.jpg
42,7406-1118013,Турбокомпрессор КамАЗ ТКР 7С6,Артикул: 7406-1118013Доп. артикул 2: 7406.1118013-01Размеры (Д х Ш х В): 0.242 x 0.215 x 0.181 мВес: 8.0 кг,"Турбокомпрессор ТКР7С-6 Камаз Евро-2, 3 левыйТурбокомпрессор ТКР7С-6 Камаз Евро-2, 3 левый (ПАО Камаз)Турбокомпрессор используется для для повышения мощности двигателя внутреннего сгорания. Он повышает давление во впускном тракте двигателя. Он является главным компонентом системы агрегатного наддува двигателей внутреннего сгорания.Артикул - 7406-1118013Дополнительный артикул - 7406.1118013-01, 7406.1118010Артикул турбокомпрессора - ТКР7С-9, К-27-115Дополнительное описание - Турбокомпрессор Камаз двигатель ЕВРО-2,3 левыйПрименение:Применяется в системе питания двигателя автомобиля. 	Камаз 740.11-240 (Евро-1) 	Камаз-6520 	Камаз 740.30-260 (Евро-2) 	Камаз 740.31-240 (Евро-2) 	Камаз-6522 	Камаз-65116 	Камаз-43501 (4х4) 	Камаз-53501 (6х6) 	Камаз-53504 (6х6) 	Камаз-6450 8х8 	Двигатель740.30:Камаз-43118, -5350, -5360, -53605, -5460, -65111, -65112, -65115, -65116, -65117, -65201, -6540 	Двигатель740.31:Камаз-42111, -43114, -43118, -4350, -43253, -5297, -53215, -53228, -53229, -54115, -54215, -3229, -5511, -55111, -6540 	Двигатель740.50:Камаз-5360, -6350, -63501, -63502, -6450, -6460, -6520, -65201, -6522, -65221, -65224, -65225, -6550 	Двигатель740.51: Камаз-6520, -6522, -65222 	Ширина, м - 0.22 	Высота, м - 0.23 	Длина, м - 0.26 	Вес, кг - 8.6",10300,1,https://deshevle-tut.ru/wp-content/uploads/2019/08/IMG_0877-22-01-21-12-49-scaled.jpg
43,К27-115-01/02,Турбокомпрессор ТКР К27 -115/01/02,Артикул: 7403-1118010Доп. артикул 1: 7403-1118010Доп. артикул 2: 706-1118010.10-01Размеры (Д х Ш х В): 0.22 x 0.19 x 0.21 мВес: 8.86 кг,"Турбокомпрессор КАМАЗ К27-115-02Артикул:Применяется для двигателей и системе питания в моделях КАМАЗШирина, м - 0.19Высота, м - 0.21Длина, м - 0.22Вес, кг – 8.3Применение на автомобилях:Семейство автомобилей КаМАЗ, тракторы ДТ-75Т, ДТ-75М, ДТ-75Т, комбайн «Енисей-1200». Двигатели серии 740 Камаз 7403, Д-440, Д-442.Колеса компрессора в диаметре: 81,2 ммКолеса турбины в диаметре: 64,5 ммКоэффициент полезного действия (КПД) компрессора турбины: от 0,75 Коэффициент полезного действия (КПД) турбины: от 0,70 Объемная подача компрессора: 0,27±0,001 кг/с Количество оборотов ротора: 100000 об/мин",11500,1,https://deshevle-tut.ru/wp-content/uploads/2019/08/TKR-k27-115.jpg
44,4310-3401090,Сошка ГУРа КамАЗ 4310,,Сошка ГУРа КамАЗ 4310Артикул: 4310-34010904310-3401090,900,1,https://deshevle-tut.ru/wp-content/uploads/2019/08/Soshka-gura-4310.jpg
45,661-3519200,Энергоаккумулятор (Матрешка)тип 24/20 КАМАЗ новый,"Энергоаккумулятор КАМАЗ-43114,65140,65115 нового образца 24/20.Артикул: 740-1307010 	Ширина, м - 0.21 	Высота, м - 0.21 	Длина, м - 0.44Вес, кг – 9.002","Энергоаккумулятор КАМАЗ-43114,65140,65115 нового образца 24/20. 	Ширина, м - 0.21 	Высота, м - 0.21 	Длина, м - 0.44Вес, кг – 9.002",2500,"1, 2",https://deshevle-tut.ru/wp-content/uploads/2019/08/Energoakkumulyatory-tip-24-20.jpg
46,"5511-2919012,",Штанга реактивная ( с железными пальцами) КАМАЗ,"Штанга реактивная КАМАЗАртикул: 5511-2919012Ширина, м - 0.35Высота, м - 0.12Длина, м - 0.62Вес, кг – 12","Штанга реактивная КАМАЗАртикул: 5511-2919012Альтернативные описания:Применяется для двигателя и системы питания двигателя в моделяхКАМАЗ-5320,КАМАЗ-53212,КАМАЗ-5410,КАМАЗ-54112,КАМАЗ-5511,КАМАЗ-55102,КАМАЗ-65115Ширина, м - 0.35Высота, м - 0.12Длина, м - 0.62Вес, кг – 12",2400,1,https://deshevle-tut.ru/wp-content/uploads/2019/08/SHtanga-reaktivnaya-5511-2919012.jpg
47,5511-2918050,Ось балансира КамАЗ,"Характеристики:Ширина, м 0.444Высота, м 0.244Длина, м 1.344","Ось балансира КАМАЗ в сборе.Применяется в ходовой части и подвеске автомобиля.Артикул — 5511-2918050Применяется для автомобилей:КамАЗ-5320, КамАЗ-53212, КамАЗ-5410 ,КамАЗ-54112 ,КамАЗ-5511, КамАЗ-55102, КамАЗ-6540Дополнительное описание - Ось КАМАЗ балансира с кронштейном в сбореОсь балансирной подвески с кронштейнами в сбореХарактеристики:Ширина, м 0.444Высота, м 0.244Длина, м 1.344",22000,1,https://deshevle-tut.ru/wp-content/uploads/2019/08/Os-balansira.png
48,453471.021,Насос ГУРа ШНКФ КамАЗ (в сборе),Насос ГУР в сборе КАМАЗ-6520 ШНКФ453471.021Насос гидроусилителя камаз 6520 характеристики: 	Артикул - 6520-3407200Применение:насос гур камаз 6520 предназначен для работы в системе рулевого управления грузовых автомобилей. Устанавливается на автомобили марки КАМАЗ серии 6,Насос ГУР в сборе КАМАЗ-6520 ШНКФ453471.021Насос гидроусилителя камаз 6520 характеристики: 	Артикул - 6520-3407200Применение:насос гур камаз 6520 предназначен для работы в системе рулевого управления грузовых автомобилей. Устанавливается на автомобили марки КАМАЗ серии 6520.,7500,1,https://deshevle-tut.ru/wp-content/uploads/2019/08/Nasos-GURa-shnkf.jpg
49,130-3407200,Насос ГУРа ЗИЛ-130 с бачком (в сборе),,"Пластинчатый насос двойного действия.Применение:Предназначен для работы в системе рулевого управления грузовых автомобилей и автобусов. Устанавливается на автомобили марки ЗИЛ-130, автобусы ЛиАЗ 677.",2900,3,https://deshevle-tut.ru/wp-content/uploads/2019/08/Nasos-gura-ZIL.jpg
50,5320-3422010,Вал карданный рулевой КАМАЗ 5320,,,1300,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg
51,4310-3422010,Вал карданный рулевой КАМАЗ 4310,,,1600,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg
52,740-1318010,Гидромуфта КАМАЗ,,"Гидромуфта привода КАМАЗ Артикул: 740-1318010 Альтернативные описания: Применяется для двигателя и системы охлаждения двигателя в моделях КАМАЗ-4310, КАМАЗ-4326, КАМАЗ-5315, КАМАЗ-5320, КАМАЗ-53212, КАМАЗ-5410, КАМАЗ-54112, КАМАЗ-5511, КАМАЗ-55102Ширина, м - 0.43 Высота, м - 0.26 Длина, м - 0.276 Вес, кг – 19.6",3700,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20200324_112329-scaled.jpg
53,740.90-1003010,Головка блока цилиндров Камаз Евро-3-4 с Коммон Рейл с клапанами в сборе,,"Головка блока цилиндров Камаз Евро-3-4 с Коммон Рейл с клапанами в сбореГоловка блока - это крышка, расположенная над цилиндровым блоком. Она выполняет ведущую роль во всем блоке двигателя. Она обеспечивает процесс газораспределения в цилиндрах двигателя КамАЗ.Артикул - 740.90-1003010Дополнительное описание - Головка блока Камаз-ЕВРО-3,4 (на двигателе с Common Rail) в сбореПрименение: 	Камаз-43118 (Евро-4) 	Камаз-43502 (Евро-4) 	Камаз-43118 (Евро-4) 	Камаз-43502 (Евро-4) 	Камаз-6460 (Евро-4) 	Камаз-65111 (Евро-4) 	Камаз-6522 (Евро-4) 	Ширина, м - 0.17 	Высота, м - 0.2 	Длина, м - 0.24 	Вес, кг - 8.2",10000,1,"https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20190520_103848-scaled.jpg, https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20190520_103848-scaled.jpg"
54,4310-3400020-01,ГУР (Гидроуслитель руля ) КАМАЗ,"сновные отличия рулевого механизма 4310-3400020-03 от рулевого механизма 4310-3400020-01, снятого с производства:Габаритные и присоединительные размеры, а также технические характеристики рулевого механизма 4310-3400020-03 полностью аналогичны рулевому механизму 4310-3400020-01.Главной отличительной особенностью рулевого механизма 4310-3400020-03 является наличие встроенного концевого выключателя, который служит для уменьшения нагрузок в механизме и повышения его долговечности при максимальных углах поворота рулевого колеса. Конструктивно концевой выключатель осуществляет перепуск рабочей жидкости из полости нагнетания рулевого механизма в полость слива при перемещении поршень-рейки в крайнее правое положения (то есть в механизме пропадает усиление в крайнем правом положении. Угол поворота вала сошки, на котором происходит выключение усиления в состоянии поставки составляет 32°). При этом исключается деформация продольной тяги, крепления кронштейна рулевого механизма и другие вредные явления.","сновные отличия рулевого механизма 4310-3400020-03 от рулевого механизма 4310-3400020-01, снятого с производства:Габаритные и присоединительные размеры, а также технические характеристики рулевого механизма 4310-3400020-03 полностью аналогичны рулевому механизму 4310-3400020-01.Главной отличительной особенностью рулевого механизма 4310-3400020-03 является наличие встроенного концевого выключателя, который служит для уменьшения нагрузок в механизме и повышения его долговечности при максимальных углах поворота рулевого колеса. Конструктивно концевой выключатель осуществляет перепуск рабочей жидкости из полости нагнетания рулевого механизма в полость слива при перемещении поршень-рейки в крайнее правое положения (то есть в механизме пропадает усиление в крайнем правом положении. Угол поворота вала сошки, на котором происходит выключение усиления в состоянии поставки составляет 32°). При этом исключается деформация продольной тяги, крепления кронштейна рулевого механизма и другие вредные явления.",19600,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20200305_075721-scaled.jpg
55,4310-3400020-03,ГУР (Гидроусилитель руля ) КАМАЗ нового образца,"4310-3400020-03 механизм рулевой с ГУР КАМАЗ.КАМАЗ-4308, -4310, -43101, -43114, -43118, -4350 (4×4), -5350 (6×6), -6350 (8×8), -5315, -4326, -43261 (Евро-1, -2), -43501 (4×4), -53501 (6×6), -53504 (6×6), -6450 (8×8), -63501 (8×8), -53228, -65111, -65115, -65116.","4310-3400020-03 механизм рулевой с ГУР КАМАЗ.КАМАЗ-4308, -4310, -43101, -43114, -43118, -4350 (4×4), -5350 (6×6), -6350 (8×8), -5315, -4326, -43261 (Евро-1, -2), -43501 (4×4), -53501 (6×6), -53504 (6×6), -6450 (8×8), -63501 (8×8), -53228, -65111, -65115, -65116.",26000,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20200305_075734-scaled.jpg
56,64229-3400010-30,ГУР (Гидроусилитель руля ) МАЗ старого образца,"Механизм рулевого управления с распределителем 64229-3400010-30 выполнен по полуинтегральному типу. Предназначен для установки в систему рулевого управления совместно с гаммой гидроцилиндров на грузовые автомобили МАЗ-64221, 64226.","Механизм рулевого управления с распределителем 64229-3400010-30 выполнен по полуинтегральному типу. Предназначен для установки в систему рулевого управления совместно с гаммой гидроцилиндров на грузовые автомобили МАЗ-64221, 64226.",5000,"1, 2",
57,64229-3400010-01,ГУР (Гидроусилитель руля ) МАЗ нового образца с трубкой,"Механизм рулевого управления с распределителем 64229-3400010-01 выполнен по полуинтегральному типу.Применение:Предназначен для установки в систему рулевого управления совместно с гаммой гидроцилиндров на грузовые автомобили МАЗ-64221, 64226.Характеристики:Нагрузка на управляемую ось в зависимости от модификации силового цилиндра, кг. - 3500...9000Направление винтовой канавки шарико-винтовой передачи - левоеМаксимально допускаемое эксплуатационное давление рабочей жидкости на входе в корпус распределителя, МПа - 10Эксплуатационная подача рабочей жидкости на входе в корпус распределителя, дм³/мин. - 18...22Максимально допустимый крутящий момент на выходном валу, Н·м - 2945Передаточное отношение механизма - 24:1Полный угол поворота выходного вала, градус - 96Гидравлический люфт, не более, градус - 6Масса, не более, кг - 30,5","Механизм рулевого управления с распределителем 64229-3400010-01 выполнен по полуинтегральному типу.Применение:Предназначен для установки в систему рулевого управления совместно с гаммой гидроцилиндров на грузовые автомобили МАЗ-64221, 64226.Характеристики:Нагрузка на управляемую ось в зависимости от модификации силового цилиндра, кг. - 3500...9000Направление винтовой канавки шарико-винтовой передачи - левоеМаксимально допускаемое эксплуатационное давление рабочей жидкости на входе в корпус распределителя, МПа - 10Эксплуатационная подача рабочей жидкости на входе в корпус распределителя, дм³/мин. - 18...22Максимально допустимый крутящий момент на выходном валу, Н·м - 2945Передаточное отношение механизма - 24:1Полный угол поворота выходного вала, градус - 96Гидравлический люфт, не более, градус - 6Масса, не более, кг - 30,5",5500,2,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20190514_101136-scaled.jpg
58,64221-3400010-10,ГУР (Гидроусилитель руля ) МАЗ нового образца  (перевертыш),"Описание: Механизм рулевого управления с распределителем 64221-3400010 выполнен по полуинтегральному типу с клапаном ограничения давления Применяемость: МАЗ-544020. МАЗ-643068. МАЗ-544008. МАЗ-643008, МАЗ-МАН, МАЗ-6430, МАЗ-5440 и их модификации","Описание: Механизм рулевого управления с распределителем 64221-3400010 выполнен по полуинтегральному типу с клапаном ограничения давления Применяемость: МАЗ-544020. МАЗ-643068. МАЗ-544008. МАЗ-643008, МАЗ-МАН, МАЗ-6430, МАЗ-5440 и их модификации",9000,2,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_0552-22-06-20-09-07.jpg
59,64229-3400010-50,ГУР (Гидроусилитель руля ) УРАЛ нового образца,"Механизм рулевого управления с распределителем 64229-3400010-50 выполнен по полуинтегральному типу.Применение:Предназначен для установки в систему рулевого управления совместно с гаммой гидроцилиндров на грузовые автомобили УРАЛ-4320, 5557.Характеристики:Нагрузка на управляемую ось в зависимости от модификации силового цилиндра, кг - 3500...9000Направление винтовой канавки шарико-винтовой передачи - левоеМаксимально допускаемое эксплуатационное давление рабочей жидкости на входе в корпус распределителя, МПа - 10Эксплуатационная подача рабочей жидкости на входе в корпус распределителя, дм³/мин. - 18...22Максимально допустимый крутящий момент на выходном валу, Нм - 2945Передаточное отношение механизма - 24:1Полный угол поворота выходного вала, градус - 96Гидравлический люфт, не более, градус - 6Масса, не более, кг - 30,5","Механизм рулевого управления с распределителем 64229-3400010-50 выполнен по полуинтегральному типу.Применение:Предназначен для установки в систему рулевого управления совместно с гаммой гидроцилиндров на грузовые автомобили УРАЛ-4320, 5557.Характеристики:Нагрузка на управляемую ось в зависимости от модификации силового цилиндра, кг - 3500...9000Направление винтовой канавки шарико-винтовой передачи - левоеМаксимально допускаемое эксплуатационное давление рабочей жидкости на входе в корпус распределителя, МПа - 10Эксплуатационная подача рабочей жидкости на входе в корпус распределителя, дм³/мин. - 18...22Максимально допустимый крутящий момент на выходном валу, Нм - 2945Передаточное отношение механизма - 24:1Полный угол поворота выходного вала, градус - 96Гидравлический люфт, не более, градус - 6Масса, не более, кг - 30,5",6500,"1, 2, 4",https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20190913_130658-scaled.jpg
60,375-3400022,ГУР (Гидроусилитель руля ) УРАЛ 4320/5557 ( со шлицами),"Механизм рулевой в сборе (УРАЛ)Артикул - 375-3400022-01Применение:Применяется для механизмов управления и управления рулевого в моделях УРАЛ-5557 	Вес, кг - 35.3","Механизм рулевой в сборе (УРАЛ)Артикул - 375-3400022-01Применение:Применяется для механизмов управления и управления рулевого в моделях УРАЛ-5557Вес, кг - 35.3",6500,"1, 2, 4",https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20190313_145817-scaled.jpg
61,C700 VW 717-110,ГУР (Механизм рулевой) КАМАЗ-6520 C700 VW 717-110 (RBL),Механизм рулевой ГУР Камаз-6520 C700 VW 717-110 (RBL)Артикул - VW717127Дополнительный артикул - VW717127,Механизм рулевой ГУР Камаз-6520 C700 VW 717-110 (RBL)Артикул -VW717127Дополнительный артикул -VW717127,35000,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20190313_130919-scaled.jpg
62,238-1601130,Диск сцепления ведомый ЯМЗ передний,"Применение:Двигатель ЯМЗ 236М2-1: Автомобили МАЗ-53371, -5551, -54331;Двигатель ЯМЗ 236М2-2: Компрессорные станции ПВ-10/8М1, НВ-10/8М2;Двигатель ЯМЗ 236М2-4: Автопоезда: УРАЛ-4320-10, УРАЛ-43202-10; шасси: УРАЛ-43203-10; самосвал: УРАЛ-5557-10; тягачи: УРАЛ-4420-10, УРАЛ-44202-10; лесовоз: УРАЛ-43204-10 и их модификации; Дрезины АГМС;Двигатель ЯМЗ 236М2-28: Экскаватор ЭО-5119; Дорожные катки ДУ-84, -85, -85-1, -101;Двигатель ЯМЗ 236М2-39: Автомобили УРАЛ-43206;Двигатель ЯМЗ 236А-1, -4: Автомобили ЗИЛ-452632, -534332;Двигатель ЯМЗ 236Г-1: Экскаваторы ЭО-33211; Дорожные катки ДУ-84, -85, -85-1, -101;Двигатель ЯМЗ 236Г-4: Автогрейдеры ДЗ-122Б;Двигатель ЯМЗ 238М2-2: Путеремонтные машины Р-2000, ВПР-1250, ВПРС-500; Моторные платформы МПД-2, железнодорожные краны КЖС-16, КЖ-462, -562, КЖ-661, автомотрисы АГД-1А, АС-5, АРВ-1;Двигатель ЯМЗ 238М2-4: Автомобили КрАЗ-6510, -65101-40, -6444;Двигатель ЯМЗ 238М2-5: Автомобили МАЗ-53366, -54329, -543400, -55513, -63038;Двигатель ЯМЗ 238М2-6: Автомобили УРАЛ-432007-31;Двигатель ЯМЗ 238М2-10: Шнекороторные снегоочистители ДЭ-210Б-1М (-3М)Двигатель ЯМЗ 238М2-32: Автомобили УРАЛ-4320-31 (бродоходимость 1,7 м);Двигатель ЯМЗ 238М2-38: Автомобили УРАЛ-4320, -43202-31, -4320-0911, -432009, -432009-31, -55571, -44202 (бродоходимость 1,7 м);Двигатель ЯМЗ 238М2-40: Автомобили УРАЛ-4320-31;Двигатель ЯМЗ 238АМ2-1: Скрепер МоАЗ-6014, одноосный тягач МоАЗ-6442, самоходный каток МоАЗ-6442-9890;Двигатель ЯМЗ 238ГМ2: Экскаваторы ЭО-5124А, ЭО-5126, ЭО-5221, экскаватор ЭО-5126, экскаватор ЭО-5116, бурильная машина БМ-2501; Катер КС-100; Валочно-пакетирующая машина ЛП-19Б, экскаваторы;Двигатель ЯМЗ 238Б-23: Автомобиль УРАЛ-532301, УРАЛ-532301 (бродоходимость 1,2 м);Двигатель ЯМЗ 238Б-28: Автомобиль УРАЛ-532301, УРАЛ-532301, -532361, -542301 (бродоходимость 1,2 м);Двигатель ЯМЗ 238Д: Шасси МЗКТ-692378, -65168.","Применение:Двигатель ЯМЗ 236М2-1: Автомобили МАЗ-53371, -5551, -54331;Двигатель ЯМЗ 236М2-2: Компрессорные станции ПВ-10/8М1, НВ-10/8М2;Двигатель ЯМЗ 236М2-4: Автопоезда: УРАЛ-4320-10, УРАЛ-43202-10; шасси: УРАЛ-43203-10; самосвал: УРАЛ-5557-10; тягачи: УРАЛ-4420-10, УРАЛ-44202-10; лесовоз: УРАЛ-43204-10 и их модификации; Дрезины АГМС;ДвАртикул - 238-1601130Дополнительный артикул - 238-1601130-УАртикул аналога - 238-1601130-Б (передний)Диск сцепления ведомый универсальный. Диск собран на металлических заклепках, а не на болтах, что исключает подделку. Усиленный демпфер и закрытая конструкция пружин демпфера обеспечивает надежную работу и предохраняет от повреждения дорогостоящие детали муфты сцепления. Диск ТА 2381601130 показал себя с хорошей стороны, надежностью конструкции, подтвержденную многочисленными испытаниями, а также лабораторными испытаниями НГТУ, о чем свидетельствует сертификат качества.Диск имеет округлую форму. Диск сцепления ведомый входит в состав узла сцепления. Он непосредственно связан с ведущими колесами автомобиля. Располагается между маховиком и площадкой транспортного средства. Диск состоит из основания, шлицевой муфты, фрикционных накладок, демпферных пружин. Последние расположены вокруг муфты и служат цели гашения вибраций. Данный диск можно ставить и на место переднего и на место заднего. Усиленный демпфер и закрытая конструкция пружин демпфера обеспечивает надежную работу и предохраняет от повреждения дорогостоящие детали муфты сцепления.Применение:Применяется в двухдисковой муфте сцепления двигателей ЯМЗ-238, ЯМЗ-236 любого года выпуска. Диск ТА 238-1601130 устроен так, что его можно ставить и на место переднего и на место заднего.МАЗ-500АМАЗ-503АМАЗ-504АМАЗ-54328МАЗ-5433МАЗ-5335МАЗ-504ВМАЗ-5429МАЗ-5549ЛАЗ 5252ЯМЗ-236 МЯМЗ-236 ДК и ЯМЗ 238 АКЯМЗ-236 М2 и 238 М2ЯМЗ-236, -238, -238НБЯМЗ-238 МЯМЗ-238 АМЯМЗ-238 ГМЯМЗ-238 ИМЯМЗ-238 НДЯМЗ-238 НЯМЗ-238 ЛЯМЗ-238 ПМ и 238 ФМЯМЗ-236, -238, -238НБХарактеристики:Наружный диаметр: 400 ммРазмеры шлиц: 34*42*6 ммВысота ступицы: 40 ммВес, кг - 6,8",1600,"3, 1, 2, 6, 4",https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20190313_130637-scaled.jpg
63,238-1601131,Диск сцепления ведомый ЯМЗ задний,"Диск сцепления ведомый универсальный. Диск собран на металлических заклепках, а не на болтах, что исключает подделку. Усиленный демпфер и закрытая конструкция пружин демпфера обеспечивает надежную работу и предохраняет от повреждения дорогостоящие детали муфты сцепления. Диск ТА 2381601130 показал себя с хорошей стороны, надежностью конструкции, подтвержденную многочисленными испытаниями, а также лабораторными испытаниями НГТУ, о чем свидетельствует сертификат качества.Диск имеет округлую форму. Диск сцепления ведомый входит в состав узла сцепления. Он непосредственно связан с ведущими колесами автомобиля. Располагается между маховиком и площадкой транспортного средства. Диск состоит из основания, шлицевой муфты, фрикционных накладок, демпферных пружин. Последние расположены вокруг муфты и служат цели гашения вибраций. Данный диск можно ставить и на место переднего и на место заднего. Усиленный демпфер и закрытая конструкция пружин демпфера обеспечивает надежную работу и предохраняет от повреждения дорогостоящие детали муфты сцепления.Применение:Применяется в двухдисковой муфте сцепления двигателей ЯМЗ-238, ЯМЗ-236 любого года выпуска. Диск ТА 238-1601130 устроен так, что его можно ставить и на место переднего и на место заднего.МАЗ-500АМАЗ-503АМАЗ-504АМАЗ-54328МАЗ-5433МАЗ-5335МАЗ-504ВМАЗ-5429МАЗ-5549ЛАЗ 5252ЯМЗ-236 МЯМЗ-236 ДК и ЯМЗ 238 АКЯМЗ-236 М2 и 238 М2ЯМЗ-236, -238, -238НБЯМЗ-238 МЯМЗ-238 АМЯМЗ-238 ГМЯМЗ-238 ИМЯМЗ-238 НДЯМЗ-238 НЯМЗ-238 ЛЯМЗ-238 ПМ и 238 ФМЯМЗ-236, -238, -238НБХарактеристики:Наружный диаметр: 400 ммРазмеры шлиц: 34*42*6 ммВысота ступицы: 40 ммВес, кг - 6,8","Диск сцепления ведомый универсальный. Диск собран на металлических заклепках, а не на болтах, что исключает подделку. Усиленный демпфер и закрытая конструкция пружин демпфера обеспечивает надежную работу и предохраняет от повреждения дорогостоящие детали муфты сцепления. Диск ТА 2381601130 показал себя с хорошей стороны, надежностью конструкции, подтвержденную многочисленными испытаниями, а также лабораторными испытаниями НГТУ, о чем свидетельствует сертификат качества.Диск имеет округлую форму. Диск сцепления ведомый входит в состав узла сцепления. Он непосредственно связан с ведущими колесами автомобиля. Располагается между маховиком и площадкой транспортного средства. Диск состоит из основания, шлицевой муфты, фрикционных накладок, демпферных пружин. Последние расположены вокруг муфты и служат цели гашения вибраций. Данный диск можно ставить и на место переднего и на место заднего. Усиленный демпфер и закрытая конструкция пружин демпфера обеспечивает надежную работу и предохраняет от повреждения дорогостоящие детали муфты сцепления.Применение:Применяется в двухдисковой муфте сцепления двигателей ЯМЗ-238, ЯМЗ-236 любого года выпуска. Диск ТА 238-1601130 устроен так, что его можно ставить и на место переднего и на место заднего. 	МАЗ-500А 	МАЗ-503А 	МАЗ-504А 	МАЗ-54328 	МАЗ-5433 	МАЗ-5335 	МАЗ-504В 	МАЗ-5429 	МАЗ-5549 	ЛАЗ 5252 	ЯМЗ-236 М 	ЯМЗ-236 ДК и ЯМЗ 238 АК 	ЯМЗ-236 М2 и 238 М2 	ЯМЗ-236, -238, -238НБ 	ЯМЗ-238 М 	ЯМЗ-238 АМ 	ЯМЗ-238 ГМ 	ЯМЗ-238 ИМ 	ЯМЗ-238 НД 	ЯМЗ-238 Н 	ЯМЗ-238 Л 	ЯМЗ-238 ПМ и 238 ФМ 	ЯМЗ-236, -238, -238НБХарактеристики: 	Наружный диаметр: 400 мм 	Размеры шлиц: 34*42*6 мм 	Высота ступицы: 40 мм 	Вес, кг - 6,8",1600,"3, 2, 6, 4",https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20190313_130637-scaled.jpg
64,100-3519110,Камера тормозная тип 20 КАМАЗ,"Камера тормоза ЗИЛ, КАМАЗ передняя тип 20 . Камера тормоза используется для преобразования энергии сжатого воздуха в работу тормозных механизмов автомобиля. Данная камера мембранная. Артикул - 100-3519110 Артикул аналога - 18.3519110 Применяется для автомобилей ЗИЛ-433360;442160;494560 Характеристики: вес, кг 2,97","Камера тормозаКАМАЗ передняя тип 20 Камера тормоза используется для преобразования энергии сжатого воздуха в работу тормозных механизмов автомобиля. Данная камера мембранная.Артикул - 100-3519110 Артикул аналога - 18.3519110Применяется для автомобилей ЗИЛ-433360;442160;494560 Характеристики: вес, кг 2,97",650,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG-20200120-WA0031.jpg
