"Номер по каталогу","Наименование","Ед. изм.","Цена руб","Количество","Сумма, руб"
"18-3855-01","Датчик детонации 3302 (Автоприбор/ГАЗ)","шт","428.00","","0.00"
"18-3855","Датчик детонации 3302 АВТОПРИБОР","шт","340.00","","0.00"
"261231-176","Датчик детонации 40524,40525,40904 Евро-3 (BOSCH)","шт","741.00","","0.00"
"ДСФ-65","Датчик засоренности воздуха ПАЗ-32053-07,4234,МТЗ-1221 (24V)","шт","579.00","","0.00"
"591000","Датчик кислородный 31105,3302 405,4216,УАЗ (27.3855) ","шт","2,884.00","","0.00"
"27-3855","Датчик кислородный 31105,3302 405,4216,УАЗ (ZOMMER)","шт","1,940.00","","0.00"
"0 5WK91000","Датчик кислородный УАЗ,ГАЗ c дв. 405,406,409 ","шт","2,865.00","","0.00"
"25-368889","Датчик кислородный УАЗ,ГАЗ с дв. 405,406,409 (Евро-2,3) (DELPHI) (25368889)","шт","2,361.00","","0.00"
"20-3855-10","Датчик массового расхода воздуха 406 (к блоку управления МИКАС-11) ""Continental"" №77362285","шт","7,202.00","","0.00"
"20-3855-10","Датчик массового расхода воздуха 406 (к блоку управления МИКАС-11) (Топливные системы/ПЕКАР)","шт","3,397.00","","0.00"
"20-3855-10","Датчик массового расхода воздуха 406 (к блоку управления МИКАС-11) Е-3 (RS Detal)","шт","2,262.00","","0.00"
"20-3855","Датчик массового расхода воздуха 406 (пленочный) (РосДеталь) (1БР)","шт","2,772.00","","0.00"
"20-3855","Датчик массового расхода воздуха 406 №18451801 (Элкар)","шт","6,672.00","","0.00"
"40-7282-02","Датчик массового расхода воздуха 406 М (нитьевой) (1БР)","шт","2,029.00","","0.00"
"20-3855","Датчик массового расхода воздуха 406 модерн. Микас 7.1,7.2 (ZOMMER)","шт","2,580.00","","0.00"
"280218-37","Датчик массового расхода воздуха ВАЗ,ГАЗ с дв.405,406 инж (BOSCH)","шт","3,539.00","","0.00"
"25-3855-01","Датчик неровной дороги 31105,3302,2217,2170,УАЗ-3163 Евро-3 (25-3855000-01)","шт","1,042.00","","0.00"
"406-1130000","Датчик положения дроссельной заслонки 406 (ZOMMER)","шт","226.00","","0.00"
"406-1130000","Датчик положения дроссельной заслонки 406 (НРК1-8) (PRAVT)","шт","230.00","","0.00"
"406-1130000","Датчик положения дроссельной заслонки 406 (ПЕКАР)","шт","300.00","","0.00"
"434330-04","Датчик положения дроссельной заслонки 406 (РИКОР ЭЛЕКТРОНИКС) (в/з 301195/НРК1-8)","шт","330.00","","0.00"
"403-3847000-01","Датчик положения к/вала 3302 Газель-Бизнес, Next дв.УМЗ-274 (синхронизации) (G-part)","шт","572.00","","0.00"
"4444-2872277","Датчик положения к/вала 3310 Валдай, КАМАЗ дв.Камминз ""FOTON"" (4307346/4327230)","шт","891.00","","0.00"
"PR409-04-3847010-03","Датчик положения к/вала 40524,40525,40904 (синхронизации) Евро-3 (PRAVT)","шт","658.00","","0.00"
"0 261 210 113","Датчик положения к/вала 406 (синхронизации) ","шт","2,187.00","","0.00"
"406-3847060-01","Датчик положения к/вала 406 (синхронизации) (ZOMMER)","шт","313.00","","0.00"
"406-3847060-01","Датчик положения к/вала 406 (синхронизации) (Пегас)","шт","734.00","","0.00"
"CS 0341","Датчик положения к/вала ГАЗон Next дв.ЯМЗ-5344 Евро-4, Камаз, МАЗ, DONGFENG, FIAT, LANCIA, IVECO","шт","495.00","","0.00"
"0281006-009","Датчик положения к/вала, р/вала 33104 Валдай 245 дв. Евро-3 ""BOSCH""","шт","5,426.00","","0.00"
"409-04-3847000","Датчик положения р/вала 40524,40525,40904 (фаз) Евро-3","шт","567.00","","0.00"
"232103048","Датчик положения р/вала 40524,40525,40904 (фаз) Евро-3 (СОАТЭ)","шт","756.00","","0.00"
"406-3847050-10","Датчик положения р/вала 406,405,409,4216 (фаз) (ZOMMER)","шт","356.00","","0.00"
"49-3855","Датчик положения р/вала 406,405,409,4216 (фаз) (АвтоТрейд)","шт","372.00","","0.00"
"406-3847050-06","Датчик положения р/вала 406,405,409,4216 (фаз) (ПЕГАС)","шт","636.00","","0.00"
"232103-97","Датчик положения р/вала УМЗ-274 (фаз) (ГАЗель Бизнес, Next) (BOSCH)","шт","899.00","","0.00"
"5344-1130544-10","Датчик положения р/вала ЯМЗ-5344 ГАЗон Next (фаз) (0281002138) (BOSCH)","шт","2,251.00","","0.00"
"405-3847","Датчик положения р/вала ЯМЗ-5344 ГАЗон Next (фаз) (0281002138) (PRAVT) аналог","шт","979.00","","0.00"
"4984760 / 4903417","Датчик расхода отработавших газов охладителя воздуха (ЕГР) ISF2.8","шт","3,428.00","","0.00"
"2802-3829","Датчик сигнала торможения ПАЗ,КАМАЗ,ЗИЛ,4301,3105 (Автоприбор)","шт","257.00","","0.00"
"301-3843","Датчик скорости 3110 (6имп/мин прямоуг.разъем) (34.3843)","шт","410.00","","0.00"
"28-3843","Датчик скорости 406 дв.3110 (10/имп квадратн) (344.3843)","шт","400.00","","0.00"
"342-3843","Датчик скорости 406 дв.3110,3310,УАЗ (6/имп кругл разъем) (ZOMMER)","шт","201.00","","0.00"
"342-3843","Датчик скорости 406 дв.3110,3310,УАЗ (6/имп кругл разъем) ДСА 001-03 (СЧЕТМАШ)","шт","383.00","","0.00"
"6342-3843010","Датчик скорости ГАЗель Next,ГАЗель Next-автобус,ГАЗон Next (4-х) (в/з 6342-3843010-02)","шт","1,335.00","","0.00"
"4202-3843010","Датчик скорости импульсный 4202 / г. Владимир","шт","1,030.00","","0.00"
"280130-93","Датчик температуры 3302 ""Газель Бизнес"" дв.УМЗ-274","шт","311.00","","0.00"
"405-23-3828","Датчик температуры 3302 4216 Е3 (Рикор Электроникс)40.5215","шт","201.00","","0.00"
"421-3828","Датчик температуры 3302 4216 Е3 G-part (ГАЗ)","шт","201.00","","0.00"
"42-3828","Датчик температуры 3302 дв.406","шт","183.00","","0.00"
"PR-234-3828","Датчик температуры 3302 дв.4216 Е-3,4 (421-3828) (PRAVT)","шт","160.00","","0.00"
"42-3828","Датчик температуры 3302 дв.ЗМЗ 406","шт","180.00","","0.00"
"10565","Датчик температуры 33025 дв.42167","шт","377.00","","0.00"
"4444-2897333","Датчик температуры 3310 Валдай дв.КАММИНЗ (в/з 4921322) (ГАЗ)","шт","2,012.00","","0.00"
"2872858 / 4954250 ","Датчик температуры воздуха выпускных газов ISF3.8","шт","1,000.00","","0.00"
"428-3828-01","Датчик температуры воздуха ЯМЗ в/з 651-1130564","шт","892.00","","0.00"
"PR-5340-1130548","Датчик температуры и давления воздуха ЯМЗ-5344 ГАЗон-NEXT(ан.0281006102,742.3829) (PRAVT)","шт","983.00","","0.00"
"4444-4088832","Датчик температуры наддува 3302 дв Камминз","шт","881.00","","0.00"
"406-3851010","Датчик температуры охлаж жид-ти 3110,3302,2217 дв.406,405 инж (19-3828) (ZOMMER)","шт","208.00","","0.00"
"406-3851010","Датчик температуры охлаж жид-ти 3110,3302,2217 дв.406,405 инж. (LS 0306) (LUZAR)","шт","239.00","","0.00"
"0281002209","Датчик температуры охлаж жид-ти 3309 Евро-3, Камаз (в/з 650-1130556) (BOSCH)","шт","1,918.00","","0.00"
"650-1130556","Датчик температуры охлаж жид-ти 3309-80 дв. ЯМЗ-5344 (в/з 281002-209) (BOSCH)","шт","706.00","","0.00"
"4444-4954905     ","Датчик температуры охлаж жид-ти 3310 Валдай дв.КАММИНЗ","шт","710.00","","0.00"
"4444-4954905     ","Датчик температуры охлаж жид-ти 3310 Валдай дв.КАММИНЗ","шт","329.00","","0.00"
"106-11-3808000-09","Датчик температуры охлаж жид-ти 402,405,514 дв.,33104 Валдай (ТМ-106-11) (G-part)","шт","185.00","","0.00"
"106-3808000-11","Датчик температуры охлаж жид-ти 402,405,514 дв.,33104 Валдай (ТМ-106) (ГАЗ)","шт","205.00","","0.00"
"40-5226","Датчик температуры охлаж жид-ти 405,406,409","шт","162.00","","0.00"
"425-3828000","Датчик температуры охлаж жид-ти 40524,40525,40904 дв.ЕВРО-3 (ГАЗ)","шт","194.00","","0.00"
"ТМ-100","Датчик температуры охлаж жид-ти ГАЗ,МАЗ,КРАЗ,ЗИЛ,ПАЗ ","шт","195.00","","0.00"
"ТМ-100-А","Датчик температуры охлаж жид-ти ГАЗ,МАЗ,КРАЗ,ЗИЛ,ПАЗ (КЗАЭ)","шт","211.00","","0.00"
"ТМ-100","Датчик температуры охлаж жид-ти ГАЗ,МАЗ,КРАЗ,ЗИЛ,ПАЗ (Ст. Оскол)","шт","158.00","","0.00"
"ТМ-111","Датчик температуры охлаж жид-ти ГАЗ,УАЗ, КАМАЗ, ПАЗ (Автоприбор г.Калуга)","шт","244.00","","0.00"
"ТМ-111-02","Датчик температуры охлаж жид-ти ГАЗ,УАЗ, КАМАЗ, ПАЗ (ТМ-111-02)","шт","268.00","","0.00"
"234-3828","Датчик температуры охлаж жид-ти дв.4216 Е-3,4213,409 Е-2 (ПЕКАР)","шт","212.00","","0.00"
"40-5215","Датчик температуры охлаж жид-ти ЗМЗ 40522,40621,409 с конд., УМЗ-4213, серый","шт","143.00","","0.00"
"4088832 / 4076841","Датчик температуры охлаждающей жидкости, топлива, масла ISF2.8, M11, QSX15","шт","357.00","","0.00"
"407721-01","Датчик уровня охлаждающей жидкости ГАЗель Next,3302,3309","шт","634.00","","0.00"
"5412-3827","Датчик уровня топлива 2705 (039) ""ТОЧМАШ""","шт","483.00","","0.00"
"582-3827","Датчик уровня топлива 3110 (55л) (025) ","шт","311.00","","0.00"
"505-1139-300","Датчик уровня топлива 3302,2217 погр бензонасос дв.405,560,Крайслер (СОАТЭ)","шт","458.00","","0.00"
"В11-3827","Датчик уровня топлива 3302,2705,3310 (пласт.бак 60л) (341) ""ТОЧМАШ""","шт","522.00","","0.00"
"2834049","Датчик уровня топлива 3310","шт","440.00","","0.00"
"4111-3827100","Датчик уровня топлива ГАЗон Next (Точмаш-Авто/ГАЗ)","шт","476.00","","0.00"
"51-3827","Датчик уровня топлива УАЗ-469,ГАЗ,ПАЗ (Автоприбор)","шт","395.00","","0.00"
"2301-3706","Датчик-распределитель (Трамблер) 51,52 (СОАТЭ)","шт","2,323.00","","0.00"
"2402-3706-10","Датчик-распределитель (трамблер) 53,3307,66,ПАЗ б/конт (Ст.Оскол)","шт","2,696.00","","0.00"
"Р133-01","Датчик-распределитель (трамблер) 53,3307,66,ПАЗ конт (СОАТЭ)","шт","2,318.00","","0.00"
"24-3706-А2","Датчик-распределитель (трамблер) 53,3307,ПАЗ б/конт (СОАТЭ)","шт","2,696.00","","0.00"
"1908-3706","Датчик-распределитель (Трамблер) Волга,УАЗ (дв.ЗМЗ) б/конт (СОАТЭ)","шт","1,856.00","","0.00"
"Р119Б-10 У-ХЛ","Датчик-распределитель (трамблер) контактный ""Волга"",УАЗ (привод под муфту) (СОАТЭ)","шт","1,118.00","","0.00"
"3312-3706","Датчик-распределитель (трамблер) УАЗ дв.УАЗ б/конт (СОАТЭ)","шт","2,544.00","","0.00"
"2705-6300015-21","Дверь 2705 задняя без окна лев (стар двери/стар петли)","шт","7,076.00","","0.00"
"2705-6300014-11     ","Дверь 2705 задняя без окна прав (нов двери/нов петли)","шт","7,031.00","","0.00"
"02705-00-6300014-031     ","Дверь 2705 задняя без окна прав (нов двери/стар петли)","шт","6,045.00","","0.00"
"02705-00-6420014-001     ","Дверь 2705 сдвижная средняя без окна","шт","10,451.00","","0.00"
"3302-6100015-30","Дверь 3302 Бизнес передняя лев (ГАЗ)","шт","9,176.00","","0.00"
"3302-6100014-10     ","Дверь 3302 передняя прав нов обр (с 2016)","шт","10,068.00","","0.00"
"2217-6300014","Дверь Баргузин задняя","шт","11,680.00","","0.00"
"03205-00-6100010-000","Дверь ПАЗ пассажирская в металле","шт","11,487.00","","0.00"
"04213-00-1005070-003","Демпфер коленвала 4213 дв,4216 дв","шт","2,565.00","","0.00"
"4216-1005070","Демпфер коленвала 4216 дв (УМЗ)","шт","3,593.00","","0.00"
"50031342  ","Демпфер коленвала 4216 дв.поликлиновой (УМЗ)","шт","4,167.00","","0.00"
"3302-5208170","Держатель бачка омывателя 3302,2217 (ГАЗ)","шт","397.00","","0.00"
"3302-5208170-10","Держатель бачка омывателя 3302,2217,3310 Валдай нов обр (ГАЗ)","шт","279.00","","0.00"
"3205-1203213","Держатель глушителя ПАЗ 3205","шт","82.00","","0.00"
"AMS-F-03					","Держатель для iPhone в прикуриватель на гибкой штанге с зарядкой (AMS-F-03) (AIRLINE)","шт","593.00","","0.00"
"AH-GH-01					","Держатель для очков,универсальный (AH-GH-01) (AIRLINE)","шт","111.00","","0.00"
"AMS-U-06					","Держатель для планшета универсальный на стекло + на кресло (AMS-U-06) (AIRLINE)","шт","979.00","","0.00"
"AMS-U-10					","Держатель для планшета/телефона на присоске-липучке ""Экскаватор"" (AMS-U-10) (AIRLINE)","шт","563.00","","0.00"
"AMS-U-08					","Держатель для телефона в дефлектор раздвижной (AMS-U-08) (AIRLINE)","шт","247.00","","0.00"
"AMS-U-12					","Держатель для телефона в дефлектор раздвижной на штанге (AMS-U-12) (AIRLINE)","шт","327.00","","0.00"
"AMS-F-05					","Держатель для телефона в прикуриватель на длинной штанге раздвижной с зарядкой USB (AMS-F-05) (AIRLI","шт","538.00","","0.00"
"AMS-U-13					","Держатель для телефона на лобовое стекло на металлической штанге (AMS-U-13) (AIRLINE)","шт","455.00","","0.00"
"AMS-U-01					","Держатель для телефона на лобовое стекло раздвижной (AMS-U-01) (AIRLINE)","шт","275.00","","0.00"
"AMS-F-06					","Держатель для телефона/навигатора в прикуриватель на длинной штанге с зарядкой USB (AMS-F-06) (AIRLI","шт","538.00","","0.00"
"AMS-F-02					","Держатель для телефона/навигатора в прикуриватель с зарядкой USB (AMS-F-02) (AIRLINE)","шт","455.00","","0.00"
"AMS-U-05					","Держатель для телефона/навигатора для мотоцикла/велосипеда раздвижной (AMS-U-05) (AIRLINE)","шт","275.00","","0.00"
"AMS-U-04					","Держатель для телефона/навигатора на лобовое стекло на длинной штанге (AMS-U-04) (AIRLINE)","шт","344.00","","0.00"
"AMS-U-02					","Держатель для телефона/навигатора на лобовое стекло прищепка (AMS-U-02) (AIRLINE)","шт","382.00","","0.00"
"AMS-U-07					","Держатель для телефона/навигатора на лобовое стекло/панель приборов на длинной штанге (AMS-U-07) (AI","шт","504.00","","0.00"
"ACH-D-001					","Держатель напитков на дефлектор,складной,черный/серый (ACH-D-001) (AIRLINE)","шт","132.00","","0.00"
"ACH-D-002					","Держатель напитков на приборную панель/окно/дефлектор,черный (ACH-D-002) (AIRLINE)","шт","283.00","","0.00"
"3302-42-8401356","Держатель облицовки 3302 ниж прав","шт","97.00","","0.00"
"3302-8401359-10","Держатель облицовки 3302,2705,2217 ниж","шт","12.00","","0.00"
"3110-5325292","Держатель облицовки панели приборов 3110,3115,3302","шт","23.00","","0.00"
"00024-10-1109193-000","Держатель патрубка воздушного фильтра Волга,3302 402,406","шт","82.00","","0.00"
"2705-5401258","Держатель переднего резин брызговика 2705,2217","шт","163.00","","0.00"
"2123-5325292","Держатель пружинный деталей панели приборов ГАЗель Next, ГАЗон Next (ГАЗ) ","шт","20.00","","0.00"
"04216-00-3761580-000","Держатель скобы 4216 дв 3302","шт","9.00","","0.00"
"3923044 / 3910410 …","Держатель ступицы вентилятора 4ISBе, ISF2.8, ISF3.8, ISLe, QSB, QSC, QSL","шт","298.00","","0.00"
"50-5215802","Держатель трубки рычага стеклоочистителя ГАЗель Next (Автоприбор/ГАЗ)","шт","18.00","","0.00"
"5262662","Держатель шестерни ГРМ (5262662) ISF2.8","шт","73.00","","0.00"
"5262663","Держатель шестерни ГРМ (5262663) ISF2.8","шт","70.00","","0.00"
"13-8402194","Держатель эмблемы (зажим под саморез)","шт","5.00","","0.00"
"AC-HD-01","Детское удерживающее устройство,универсальное,цвет черный/оранжевый (AC-HD-01) (AIRLINE)","шт","311.00","","0.00"
"03310-00-8108037-000","Дефростер 3310 Валдай лев","шт","56.00","","0.00"
"03310-00-8108036-000","Дефростер 3310 Валдай прав","шт","56.00","","0.00"
"417-1014090","Диафрагма регулятора разряжения дв 4216","шт","40.00","","0.00"
"БВО-3-105-03","Диодный мост генер дв.406 (72А)","шт","713.00","","0.00"
"БВ03-105-03","Диодный мост генератора дв.406 (ген.9422)","шт","652.00","","0.00"
"2123-3101015-01","Диск колесный 3302 (16) штамп н/о (ГАЗ)","шт","2,096.00","","0.00"
"","Диск колесный 3302 (16) штамп н/о усил (К)","шт","2,363.00","","0.00"
"3301-3101015     ","Диск колесный 3307 штамп (ГАЗ)","шт","4,940.00","","0.00"
"3310-40-3101015-01","Диск колесный 3310 (17,5) штамп","шт","4,961.00","","0.00"
"1675-10-0310101-221","Диск колесный ГАЗон Next (19,5х6,75 6-ти шпил) (City) (ГАЗ)","шт","6,088.00","","0.00"
"4111-3101015","Диск колесный ГАЗон NEXT (под бортовое кольцо) (ГАЗ)","шт","5,000.00","","0.00"
"3205-30-3101015     ","Диск колесный ПАЗ 32053,4234,4230 штамп (8 отв)","шт","5,265.00","","0.00"
"25.3708.030РС","Диск контактный","шт","252.00","","0.00"
"20-1878005-153     ","Диск сцепления ведомый 3302 ""Газель Бизнес"" (дв.4216 Е3,Е4,дв.274) ZF (SACHS)","шт","5,200.00","","0.00"
"ТМ421-1601130","Диск сцепления ведомый 3302 ""Газель Бизнес"" под лепестк.диск (ТЮМЕНЬ)","шт","1,302.00","","0.00"
"20-1878005-456     ","Диск сцепления ведомый 3302 Бизнес, ГАЗель Next дв. КАММИНЗ","шт","5,142.00","","0.00"
"3302-1601130-42","Диск сцепления ведомый 3302 дв. КАММИНЗ (ZOMMER)","шт","2,040.00","","0.00"
"4301-1601130-01     ","Диск сцепления ведомый 3310 Валдай,4301,ПАЗ дв.245 (ГАЗ)","шт","4,068.00","","0.00"
"4301-1601130","Диск сцепления ведомый 3310 Валдай,4301,ПАЗ дв.245 (ПРАМО)","шт","1,309.00","","0.00"
"ТМ406-1601130","Диск сцепления ведомый 406 дв. (ТЮМЕНЬ)","шт","1,260.00","","0.00"
"53-11-1601130-15","Диск сцепления ведомый 511,513 дв. (ЗМЗ)","шт","1,881.00","","0.00"
"53-1601130Ф","Диск сцепления ведомый 511,513 дв. (ПРАМО)","шт","896.00","","0.00"
"53-1601130-01Ф","Диск сцепления ведомый 511,513 дв.усил (ПРАМО)","шт","1,022.00","","0.00"
"511-1601130-280","Диск сцепления ведомый 511,523,513 дв. диафр.сцепл (ЗМЗ) 5110-4630000","шт","2,108.00","","0.00"
"ТМ52-1601130","Диск сцепления ведомый 52 (ТЮМЕНЬ)","шт","1,148.00","","0.00"
"ТМ53-1601130","Диск сцепления ведомый ГАЗ-53 модерн (ТЮМЕНЬ)","шт","1,330.00","","0.00"
"ТМ53-1601130-01","Диск сцепления ведомый ГАЗ-53 стекловолокно (ТЮМЕНЬ)","шт","1,688.00","","0.00"
"456-1601130","Диск сцепления ведомый Газель Next (ПРАМО)","шт","966.00","","0.00"
"ТМ456-1601130","Диск сцепления ведомый Газель Next (ТЮМЕНЬ)","шт","1,350.00","","0.00"
"ТМ280-130-006-639","Диск сцепления ведомый ГАЗель Next дв.Камминз Е-4 (КП 330 Нм) (280 мм) (ТЮМЕНЬ)","шт","2,700.00","","0.00"
"251878006639 (1878008502)","Диск сцепления ведомый ГАЗель Next дв.Камминз Е-4 (КП 330 Нм) (под КППА21R22-1700010-01) (SACHS)","шт","3,632.00","","0.00"
"ТМ456-1601130 ДХХ","Диск сцепления ведомый Газель Next ДХХ  (ТЮМЕНЬ)","шт","1,958.00","","0.00"
"5340-89447","Диск сцепления ведомый ГАЗон Next дв.ЯМЗ-5344","шт","13,780.00","","0.00"
"130-1601130М","Диск сцепления ведомый ЗИЛ-130 модерн. (ПРАМО)","шт","1,134.00","","0.00"
"205-1601130","Диск сцепления ведомый КАМАЗ-ЕВРО. (ПРАМО)","шт","4,160.00","","0.00"
"238-1601130М","Диск сцепления ведомый МАЗ. (ПРАМО)","шт","2,025.00","","0.00"
"41-1601130-03","Диск сцепления ведомый ПАЗ усил (бенз.дв.) (ЗМЗ)","шт","2,497.00","","0.00"
"45-972271","Диск сцепления ведомый ПАЗ,32053,4230 дв. 245 нов. обр. (БВЗ-972271)","шт","5,596.00","","0.00"
"ТМ45-972271","Диск сцепления ведомый ПАЗ,32053,4230 дв.245 нов.обр. (БВЗ-972271) (ТЮМЕНЬ)","шт","2,565.00","","0.00"
"421-1601130","Диск сцепления ведомый УАЗ под лепестк.диск (ПРАМО)","шт","728.00","","0.00"
"15-3482000-693","Диск сцепления нажимной (корзина) ""Валдай"", 33096 дв. Cummins 3.8, 33098 дв. ЯМЗ 5344 ГАЗ (SACHS)","шт","13,292.00","","0.00"
"2122-1601090","Диск сцепления нажимной (корзина) Газель Next (дв.Cummins 2,8 150л.с.) под КППA21R22-1700010-01 ГАЗ","шт","6,342.00","","0.00"
"3482001168","Диск сцепления нажимной (корзина) ГАЗель Next дв. Cummins 2,8 под A21R22-1700010-01 330 н.м (G-part)","шт","3,519.00","","0.00"
"2122-1601090","Диск сцепления нажимной (корзина) ГАЗель Next дв.Камминз 2.8 Евро-4 (280мм) (FS 895)","шт","5,107.00","","0.00"
"3302-1601090-42","Диск сцепления нажимной 3302 ""Газель Бизнес"", NEXT (4216 Е3,Е4) КАММИНЗ (ZOMMER)","шт","2,885.00","","0.00"
"6-3082001-150     ","Диск сцепления нажимной 3302 ""Газель Бизнес"", NEXT (4216 Е3,Е4) КАММИНЗ ZF ГАЗ (SACHS)","шт","4,020.00","","0.00"
"ТМ417-1601090","Диск сцепления нажимной 3302 ""Газель Бизнес"", Next (4216 Е3,Е4), Камминз лепест (ТЮМЕНЬ)","шт","2,228.00","","0.00"
"3302-1601090","Диск сцепления нажимной 3302 дв.405,406,409 (ГАЗ)","шт","2,108.00","","0.00"
"ТМ406-1601090","Диск сцепления нажимной 3302 дв.406 (ТЮМЕНЬ)","шт","1,823.00","","0.00"
"ТМ406-1601090","Диск сцепления нажимной 3302 дв.406 (ТЮМЕНЬ)","шт","1,823.00","","0.00"
"4215-1601090","Диск сцепления нажимной 4215 дв 3302","шт","2,350.00","","0.00"
"4301-1601090-20","Диск сцепления нажимной 4301,3306,ПАЗ (ГАЗ)","шт","7,923.00","","0.00"
"ТМ4301-1601090","Диск сцепления нажимной 4301,3306,ПАЗ (ТЮМЕНЬ)","шт","6,858.00","","0.00"
"511-1601090","Диск сцепления нажимной 511,523,513 (ZOMMER)","шт","4,770.00","","0.00"
"53-1601090-11","Диск сцепления нажимной 53 (ЗМЗ)","шт","5,077.00","","0.00"
"2217-3501077     ","Диск тормозной 2217 (ГАЗ)","шт","1,798.00","","0.00"
"3302-3501077","Диск тормозной 3302 (ГАЗ)","шт","1,584.00","","0.00"
"3310-40-3501078-01","Диск тормозной 3310 Валдай, ГАЗон Next (ГАЗ)","шт","6,387.00","","0.00"
"2123-3501078","Диск тормозной Газель Next","шт","3,187.00","","0.00"
"4192-3502078","Диск тормозной задний правый, левый ГАЗель-NEXT 4,6 т (ГАЗ)","шт","7,090.00","","0.00"
"3302-2403011","Дифференциал 3302 в сб","шт","4,950.00","","0.00"
"3302-2403011-10","Дифференциал 3302 в сб (после 2011г)","шт","5,245.00","","0.00"
"3302-2403130","Дифференциал 3302 гол","шт","2,822.00","","0.00"
"3309-2403011     ","Дифференциал 3309,33104,ГАЗон Next в сб","шт","12,438.00","","0.00"
"53-2403014-04","Дифференциал 53 в сб (ГАЗ)","шт","8,690.00","","0.00"
"03205-00-8101078-000","Диффузор ПАЗ","шт","1,240.00","","0.00"
"3913010","Домкрат гидравлический  2т (Москва)","шт","333.00","","0.00"
"3913010","Домкрат гидравлический 12т (г.Москва)","шт","1,641.00","","0.00"
"3913010","Домкрат гидравлический 20т (г.Москва)","шт","2,155.00","","0.00"
"AJ-1.5F-300					","Домкрат подкатной 1.5т (MIN-140мм,MAX-300мм) (AJ-1.5F-300) (AIRLINE)","шт","2,306.00","","0.00"
"","Домкрат подкатной 2 т. в кейсе ""Автовираж""","шт","1,725.00","","0.00"
"AJ-2.3F-350P					","Домкрат подкатной 2.3т в сумке (MIN-140мм,MAX-350мм) (AJ-2.3F-350P) (AIRLINE)","шт","3,564.00","","0.00"
"AJ-2F-330					","Домкрат подкатной 2т (MIN-135мм,MAX-330мм) (AJ-2F-330) (AIRLINE)","шт","2,943.00","","0.00"
"AJ-R-1.5","Домкрат ромбический 1.5т в сумке (MIN-105мм,MAX-380мм) (AJ-R-1.5) (AIRLINE)","шт","1,170.00","","0.00"
"AJ-R-01					","Домкрат ромбический 1т (MIN-105мм,MAX-340мм) (AJ-R-01) (AIRLINE)","шт","728.00","","0.00"
"AJ-R-02					","Домкрат ромбический 2т в сумке (MIN-105мм,MAX-400мм) (AJ-R-02) (AIRLINE)","шт","1,259.00","","0.00"
"4216-1148010","Дроссель 274,4216 Евро-4 (ОАО ""УМЗ"") (ГАЗ)","шт","6,626.00","","0.00"
"406-02-1148100-11","Дроссель 40522,409 с датчиком Арзамас ""Импульс""","шт","1,391.00","","0.00"
"406-02-1148100-11","Дроссель 40522,409 с датчиком Арзамас (Топливные системы/ПЕКАР)","шт","2,804.00","","0.00"
"406-20-1148100-13","Дроссель 40522,409 с датчиком Йошкар-Ола ""Пекар""","шт","2,500.00","","0.00"
"406-24-1148090","Дроссель 40524,40525 Евро-3 ""Continental""","шт","6,697.00","","0.00"
"406-02-1148100-02","Дроссель 406 с датчиком ""Пекар""","шт","2,530.00","","0.00"
"406-20-1148100-18","Дроссель 4216 с датчиком Арзамас ""Пекар""","шт","2,344.00","","0.00"
"406-20-1148100-21","Дроссель 4216 с датчиком Арзамас (ПЕКАР)","шт","2,344.00","","0.00"
"406-20-1148100-17","Дроссель 4216 с датчиком Йошкар-Ола ""Пекар""","шт","2,170.00","","0.00"
"3302-3761581-02","Жгут 3302 КМПСУД дв 40524 Е-3 с 2009 г.","шт","5,604.00","","0.00"
"33081-3724601","Жгут 33081-3724 601 свечей накаливания","шт","311.00","","0.00"
"2123-3724038-20","Жгут 38 Газель Next","шт","499.00","","0.00"
"2123-3770805-05","Жгут 805 (дверной к замку двери левый) ГАЗель Next ГАЗ в/з А21R23.3770805-03,-04 (Автопровод/ГАЗ)","шт","1,921.00","","0.00"
"2123-3770805-15","Жгут 805 дверной к замку двери лев. с электроприв. нар. зеркал. ГАЗельNext ГАЗ в/з A21R23.3770805-13","шт","2,272.00","","0.00"
"3302-02-3770018-10","Жгут блокируемого дифференциала 33022","шт","493.00","","0.00"
"22223-3770808","Жгут задней двери ГАЗель Next фермер (808)","шт","610.00","","0.00"
"2705-3724168-10","Жгут к датчику скорости 168 ( 5-ти контактный) ""ГАЗель Бизнес"" (Автокомплект/ГАЗ)","шт","885.00","","0.00"
"2705-3724168     ","Жгут к датчику скорости 3302 (3221,2705,2217) (Газель-бизнес, 2010г) (Автопровод)","шт","648.00","","0.00"
"3302-3724168","Жгут к датчику скорости ГАЗ-3302 (168)","шт","559.00","","0.00"
"3310-40-3724168","Жгут к датчику скорости ГАЗ-3310 Валдай","шт","455.00","","0.00"
"2123-3761581-12","Жгут КМПСУД 3302,3221,2705 дв.EvoTech 2.7,Газель-NEXT с 02.2015г.,без датч. фаз распредва Автопровод","шт","6,382.00","","0.00"
"2705-3761581-10","Жгут КМПСУД ГАЗ 3302 ""Газель Бизнес"" дв.4216 2010г","шт","4,698.00","","0.00"
"3302-30-3761581-20","Жгут КМПСУД ГАЗ-3302,33023 дв.4216 Евро-4","шт","4,615.00","","0.00"
"2705-3761581-20","Жгут КМПСУД дв.4216 ЕВРО-3 3302, 2705, 2217 катушка зажигания н/о ГАЗ","шт","5,743.00","","0.00"
